category,algorithm,alpha,alpha_high,alpha_low,tx_rate,pow_h,m,n_nodes,duration,topology,latency_model,latency_base_ms,latency_jitter_ms,seed,algo_tag,total_transactions,total_issued,convergence_ratio,orphan_rate,avg_propagation_latency_ms,max_propagation_latency_ms,mean_L_steady,peak_L,unique_pids,wall_time_s
H_alpha,mcmc,0.001,1.0,0.001,2.0,0.2,2,5,25.0,full_mesh,lognormal,100.0,50.0,42,,169,168,1.0,0.023668639053254437,331.7296966200783,612.5774383544922,3.648,7,5,27.691056966781616
H_alpha,mcmc,0.001,1.0,0.001,2.0,0.2,2,5,25.0,full_mesh,lognormal,100.0,50.0,101,,166,165,1.0,0.030120481927710843,324.9346187620452,544.4531440734863,4.408,7,5,27.714593648910522
H_alpha,mcmc,0.01,1.0,0.001,2.0,0.2,2,5,25.0,full_mesh,lognormal,100.0,50.0,42,,169,168,1.0,0.01775147928994083,334.11485666320436,592.4346446990967,3.632,7,5,27.671052932739258
H_alpha,mcmc,0.01,1.0,0.001,2.0,0.2,2,5,25.0,full_mesh,lognormal,100.0,50.0,101,,166,165,1.0,0.024096385542168676,321.9533501249371,568.6049461364746,3.768,8,5,27.707018852233887
H_alpha,mcmc,0.1,1.0,0.001,2.0,0.2,2,5,25.0,full_mesh,lognormal,100.0,50.0,42,,169,168,1.0,0.01775147928994083,330.33520479997,651.6249179840088,4.192,7,5,27.80862593650818
H_alpha,mcmc,0.1,1.0,0.001,2.0,0.2,2,5,25.0,full_mesh,lognormal,100.0,50.0,101,,165,164,1.0,0.030303030303030304,325.6681038112175,564.1133785247803,3.808,7,5,27.974213123321533
H_alpha,mcmc,0.5,1.0,0.001,2.0,0.2,2,5,25.0,full_mesh,lognormal,100.0,50.0,42,,169,168,1.0,0.07692307692307693,333.78684520721436,560.2855682373047,10.856,14,5,27.898881196975708
H_alpha,mcmc,0.5,1.0,0.001,2.0,0.2,2,5,25.0,full_mesh,lognormal,100.0,50.0,101,,166,165,1.0,0.07228915662650602,326.67202552159625,608.0923080444336,9.48,13,5,27.830063819885254
H_alpha,mcmc,1.0,1.0,0.001,2.0,0.2,2,5,25.0,full_mesh,lognormal,100.0,50.0,42,,169,168,1.0,0.13609467455621302,330.1597226943289,590.5342102050781,19.032,23,5,27.802063941955566
H_alpha,mcmc,1.0,1.0,0.001,2.0,0.2,2,5,25.0,full_mesh,lognormal,100.0,50.0,101,,166,165,1.0,0.15060240963855423,323.78399083108616,548.8922595977783,20.568,28,5,27.863635063171387
H_alpha,mcmc,2.0,1.0,0.001,2.0,0.2,2,5,25.0,full_mesh,lognormal,100.0,50.0,42,,169,168,1.0,0.1952662721893491,333.3964567808878,593.0948257446289,27.192,34,5,27.84351921081543
H_alpha,mcmc,2.0,1.0,0.001,2.0,0.2,2,5,25.0,full_mesh,lognormal,100.0,50.0,101,,166,165,1.0,0.18674698795180722,324.6349244406729,532.9978466033936,23.056,31,5,27.912867307662964
I_algorithm,random,0.01,1.0,0.001,2.0,0.2,2,5,25.0,full_mesh,lognormal,100.0,50.0,42,random,169,168,1.0,0.01775147928994083,336.1401834658214,592.5757884979248,4.656,7,5,27.916401624679565
I_algorithm,random,0.01,1.0,0.001,2.0,0.2,2,5,25.0,full_mesh,lognormal,100.0,50.0,101,random,166,165,1.0,0.024096385542168676,326.68612003326416,593.6448574066162,3.6,7,5,27.902095317840576
I_algorithm,mcmc,0.001,1.0,0.001,2.0,0.2,2,5,25.0,full_mesh,lognormal,100.0,50.0,42,mcmc_low,169,168,1.0,0.029585798816568046,334.11801074232375,587.1269702911377,5.08,9,5,27.785566568374634
I_algorithm,mcmc,0.001,1.0,0.001,2.0,0.2,2,5,25.0,full_mesh,lognormal,100.0,50.0,101,mcmc_low,166,165,1.0,0.024096385542168676,324.9957323074341,548.3543872833252,4.152,9,5,27.751529693603516
I_algorithm,mcmc,1.0,1.0,0.001,2.0,0.2,2,5,25.0,full_mesh,lognormal,100.0,50.0,42,mcmc_high,169,168,1.0,0.17751479289940827,332.3975031574567,640.700101852417,23.728,30,5,27.840550899505615
I_algorithm,mcmc,1.0,1.0,0.001,2.0,0.2,2,5,25.0,full_mesh,lognormal,100.0,50.0,101,mcmc_high,166,165,1.0,0.13253012048192772,321.9567288051952,586.2984657287598,16.6,24,5,27.814393758773804
I_algorithm,hybrid,0.01,1.0,0.001,2.0,0.2,2,5,25.0,full_mesh,lognormal,100.0,50.0,42,hybrid,169,168,1.0,0.03550295857988166,332.01089820691516,620.3596591949463,4.424,7,5,27.901283502578735
I_algorithm,hybrid,0.01,1.0,0.001,2.0,0.2,2,5,25.0,full_mesh,lognormal,100.0,50.0,101,hybrid,166,165,1.0,0.024096385542168676,330.32829761505127,591.6638374328613,4.128,6,5,27.87903094291687
J_topology,hybrid,0.01,1.0,0.001,2.0,0.2,2,8,25.0,full_mesh,lognormal,100.0,50.0,42,,275,274,1.0,0.03636363636363636,580.6997754650891,1635.5907917022705,11.23,17,8,28.156970500946045
J_topology,hybrid,0.01,1.0,0.001,2.0,0.2,2,8,25.0,full_mesh,lognormal,100.0,50.0,101,,270,269,1.0,0.044444444444444446,467.79335095916605,1142.4634456634521,10.595,15,8,28.122702598571777
J_topology,hybrid,0.01,1.0,0.001,2.0,0.2,2,8,25.0,ring,lognormal,100.0,50.0,42,,264,263,1.0,0.03787878787878788,554.6452026004376,1861.790657043457,9.83,14,8,28.212640047073364
J_topology,hybrid,0.01,1.0,0.001,2.0,0.2,2,8,25.0,ring,lognormal,100.0,50.0,101,,270,269,1.0,0.02962962962962963,522.5500113395574,1188.4231567382812,7.905,11,8,28.14894962310791
J_topology,hybrid,0.01,1.0,0.001,2.0,0.2,2,8,25.0,small_world,lognormal,100.0,50.0,42,,271,270,1.0,0.025830258302583026,589.7881597233172,1956.0883045196533,9.105,13,8,27.90319013595581
J_topology,hybrid,0.01,1.0,0.001,2.0,0.2,2,8,25.0,small_world,lognormal,100.0,50.0,101,,267,266,1.0,0.04119850187265917,486.14796506347,1394.9592113494873,10.06,15,8,27.998653173446655
J_topology,hybrid,0.01,1.0,0.001,2.0,0.2,2,8,25.0,random_k,lognormal,100.0,50.0,42,,268,267,1.0,0.03731343283582089,547.529646264735,1847.2707271575928,10.175,17,8,28.206629991531372
J_topology,hybrid,0.01,1.0,0.001,2.0,0.2,2,8,25.0,random_k,lognormal,100.0,50.0,101,,265,264,1.0,0.04905660377358491,478.86139734998926,1410.6204509735107,9.01,13,8,28.22518539428711
J_topology,hybrid,0.01,1.0,0.001,2.0,0.2,2,8,25.0,star,lognormal,100.0,50.0,42,,268,267,1.0,0.03731343283582089,688.5184656176865,1822.7159976959229,11.6,15,8,28.135039567947388
J_topology,hybrid,0.01,1.0,0.001,2.0,0.2,2,8,25.0,star,lognormal,100.0,50.0,101,,271,270,1.0,0.055350553505535055,652.7394851048788,1579.0185928344727,10.22,17,8,28.16839098930359
K_latency,hybrid,0.01,1.0,0.001,2.0,0.2,2,5,25.0,full_mesh,lognormal,20,6.0,42,,169,168,1.0,0.01775147928994083,224.00129870289848,252.76827812194824,3.328,7,5,27.880746364593506
K_latency,hybrid,0.01,1.0,0.001,2.0,0.2,2,5,25.0,full_mesh,lognormal,20,6.0,101,,166,165,1.0,0.024096385542168676,224.013183333657,248.42429161071777,3.48,6,5,27.855107069015503
K_latency,hybrid,0.01,1.0,0.001,2.0,0.2,2,5,25.0,full_mesh,lognormal,100,30.0,42,,169,168,1.0,0.029585798816568046,332.59513158173786,546.0584163665771,4.184,8,5,27.856698513031006
K_latency,hybrid,0.01,1.0,0.001,2.0,0.2,2,5,25.0,full_mesh,lognormal,100,30.0,101,,166,165,1.0,0.030120481927710843,329.67374108054423,551.9247055053711,4.672,8,5,27.65671443939209
K_latency,hybrid,0.01,1.0,0.001,2.0,0.2,2,5,25.0,full_mesh,lognormal,300,90.0,42,,169,168,0.7751479289940828,0.05492957746478873,4225.722080724421,9794.17610168457,6.888,10,5,27.707427740097046
K_latency,hybrid,0.01,1.0,0.001,2.0,0.2,2,5,25.0,full_mesh,lognormal,300,90.0,101,,166,165,0.7771084337349398,0.07725321888412016,3755.6443412723074,8681.552648544312,9.624,14,5,27.729004383087158
K_latency,hybrid,0.01,1.0,0.001,2.0,0.2,2,5,25.0,full_mesh,lognormal,800,240.0,42,,169,168,0.42011834319526625,0.05508474576271186,8576.368631726524,19093.49012374878,5.08,7,5,27.622011184692383
K_latency,hybrid,0.01,1.0,0.001,2.0,0.2,2,5,25.0,full_mesh,lognormal,800,240.0,101,,166,165,0.42771084337349397,0.06073752711496746,8195.852780260171,17221.243858337402,5.056,8,5,27.642245769500732
L_scale,hybrid,0.01,1.0,0.001,2.0,0.2,2,3,25.0,full_mesh,lognormal,100.0,50.0,42,,92,91,1.0,0.043478260869565216,303.3104283469064,484.7860336303711,2.88,4,3,27.47205376625061
L_scale,hybrid,0.01,1.0,0.001,2.0,0.2,2,3,25.0,full_mesh,lognormal,100.0,50.0,101,,98,97,1.0,0.02040816326530612,303.35678759309434,496.93965911865234,2.013333333333333,4,3,27.524577856063843
L_scale,hybrid,0.01,1.0,0.001,2.0,0.2,2,5,25.0,full_mesh,lognormal,100.0,50.0,42,,169,168,1.0,0.03550295857988166,331.76720851943605,585.8244895935059,4.912,8,5,27.7227463722229
L_scale,hybrid,0.01,1.0,0.001,2.0,0.2,2,5,25.0,full_mesh,lognormal,100.0,50.0,101,,166,165,1.0,0.024096385542168676,324.40965464620876,697.2846984863281,3.552,7,5,27.718371629714966
L_scale,hybrid,0.01,1.0,0.001,2.0,0.2,2,8,25.0,full_mesh,lognormal,100.0,50.0,42,,274,273,1.0,0.040145985401459854,538.0487995956157,1486.994743347168,10.885,13,8,28.077049016952515
L_scale,hybrid,0.01,1.0,0.001,2.0,0.2,2,8,25.0,full_mesh,lognormal,100.0,50.0,101,,271,270,1.0,0.033210332103321034,474.9502354828769,1464.9527072906494,9.685,13,8,28.036248445510864
M_attack,hybrid,0.01,1.0,0.001,1.0,0.2,2,7,25.0,full_mesh,lognormal,100.0,50.0,42,,182,181,1.0,0.027472527472527472,345.759113629659,728.1956672668457,4.765714285714286,9,7,28.727412462234497
M_attack,hybrid,0.01,1.0,0.001,1.0,0.2,2,7,25.0,full_mesh,lognormal,100.0,50.0,101,,178,177,1.0,0.033707865168539325,336.45475741384615,757.1065425872803,6.702857142857143,9,7,29.2622230052948
N_longrun,hybrid,0.01,1.0,0.001,2.0,0.2,2,5,60.0,full_mesh,lognormal,100.0,50.0,42,,416,415,1.0,0.004807692307692308,332.9142227230302,585.3884220123291,5.043333333333333,10,5,62.796958208084106
